Title,Description
AZ-POL-20250904-0123edae-3567-a05a-9b05-b53ebe9d3e7e CMA_0544 - View and configure system diagnostic data,"# Names\n\n* View and configure system diagnostic data (0123edae-3567-a05a-9b05-b53ebe9d3e7e)\n\n# Description\n\nCMA_0544 - View and configure system diagnostic data\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""defaultState"": ""Unknown""\n    }\n  }\n}\n```"
AZ-POL-20250904-013e242c-8828-4970-87b3-ab247555486d Ensure protection of your Azure Virtual Machines by enabling Azure Backup. Azure Backup is a secure and cost effective data protection solution for Azure.,"# Names\n\n* Azure Backup should be enabled for Virtual Machines (013e242c-8828-4970-87b3-ab247555486d)\n\n# Description\n\nEnsure protection of your Azure Virtual Machines by enabling Azure Backup. Azure Backup is a secure and cost effective data protection solution for Azure.\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""allOf"": [\n      {\n        ""field"": ""type"",\n        ""equals"": ""Microsoft.Compute/virtualMachines""\n      },\n      {\n        ""field"": ""id"",\n        ""notContains"": ""/resourceGroups/databricks-rg-""\n      },\n      {\n        ""field"": ""Microsoft.Compute/imagePublisher"",\n        ""notEquals"": ""azureopenshift""\n      },\n      {\n        ""field"": ""Microsoft.Compute/imagePublisher"",\n        ""notEquals"": ""AzureDatabricks""\n      }\n    ]\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""type"": ""Microsoft.RecoveryServices/backupprotecteditems""\n    }\n  }\n}\n```"
AZ-POL-20250904-01ae60e2-38bb-0a32-7b20-d3a091423409 CMA_0328 - Implement system boundary protection,"# Names\n\n* Implement system boundary protection (01ae60e2-38bb-0a32-7b20-d3a091423409)\n\n# Description\n\nCMA_0328 - Implement system boundary protection\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""defaultState"": ""Unknown""\n    }\n  }\n}\n```"
AZ-POL-20250904-03b6427e-6072-4226-4bd9-a410ab65317e CMA_0129 - Design an access control model,"# Names\n\n* Design an access control model (03b6427e-6072-4226-4bd9-a410ab65317e)\n\n# Description\n\nCMA_0129 - Design an access control model\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""defaultState"": ""Unknown""\n    }\n  }\n}\n```"
AZ-POL-20250904-043c1e56-5a16-52f8-6af8-583098ff3e60 CMA_0096 - Create a data inventory,"# Names\n\n* Create a data inventory (043c1e56-5a16-52f8-6af8-583098ff3e60)\n\n# Description\n\nCMA_0096 - Create a data inventory\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""defaultState"": ""Unknown""\n    }\n  }\n}\n```"
AZ-POL-20250904-0461cacd-0b3b-4f66-11c5-81c9b19a3d22 CMA_C1823 - Verify inaccurate or outdated PII,"# Names\n\n* Verify inaccurate or outdated PII (0461cacd-0b3b-4f66-11c5-81c9b19a3d22)\n\n# Description\n\nCMA_C1823 - Verify inaccurate or outdated PII\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""defaultState"": ""Unknown""\n    }\n  }\n}\n```"
"AZ-POL-20250904-055aa869-bc98-4af8-bafc-23f1ab6ffe2c Deploy Azure Web Application Firewall (WAF) in front of public facing web applications for additional inspection of incoming traffic. Web Application Firewall (WAF) provides centralized protection of your web applications from common exploits and vulnerabilities such as SQL injections, Cross-Site Scripting, local and remote file executions. You can also restrict access to your web applications by countries, IP address ranges, and other http(s) parameters via custom rules.","# Names\n\n* Azure Web Application Firewall should be enabled for Azure Front Door entry-points (055aa869-bc98-4af8-bafc-23f1ab6ffe2c)\n\n# Description\n\nDeploy Azure Web Application Firewall (WAF) in front of public facing web applications for additional inspection of incoming traffic. Web Application Firewall (WAF) provides centralized protection of your web applications from common exploits and vulnerabilities such as SQL injections, Cross-Site Scripting, local and remote file executions. You can also restrict access to your web applications by countries, IP address ranges, and other http(s) parameters via custom rules.\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""allOf"": [\n      {\n        ""field"": ""type"",\n        ""equals"": ""Microsoft.Network/frontdoors""\n      },\n      {\n        ""field"": ""Microsoft.Network/frontdoors/frontendEndpoints[*].webApplicationFirewallPolicyLink.id"",\n        ""exists"": ""false""\n      }\n    ]\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]""\n  }\n}\n```"
AZ-POL-20250904-055da733-55c6-9e10-8194-c40731057ec4 CMA_0152 - Develop and maintain a vulnerability management standard,"# Names\n\n* Develop and maintain a vulnerability management standard (055da733-55c6-9e10-8194-c40731057ec4)\n\n# Description\n\nCMA_0152 - Develop and maintain a vulnerability management standard\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""defaultState"": ""Unknown""\n    }\n  }\n}\n```"
AZ-POL-20250904-058e9719-1ff9-3653-4230-23f76b6492e0 CMA_0249 - Enforce security configuration settings,"# Names\n\n* Enforce security configuration settings (058e9719-1ff9-3653-4230-23f76b6492e0)\n\n# Description\n\nCMA_0249 - Enforce security configuration settings\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""defaultState"": ""Unknown""\n    }\n  }\n}\n```"
"AZ-POL-20250904-05ec66a2-137c-14b8-8e75-3d7a2bef07f8 CMA_0323 - Implement physical security for offices, working areas, and secure areas","# Names\n\n* Implement physical security for offices, working areas, and secure areas (05ec66a2-137c-14b8-8e75-3d7a2bef07f8)\n\n# Description\n\nCMA_0323 - Implement physical security for offices, working areas, and secure areas\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""defaultState"": ""Unknown""\n    }\n  }\n}\n```"
